ENSG00000223972.5	chr1:11869
ENSG00000277591.1	chr2:95003843
ENSG00000233850.1	chr2:95026709
ENSG00000172005.10	chr2:95025677
ENSG00000231062.1	chr2:95053176
ENSG00000144029.11	chr2:95149434
ENSG00000144026.11	chr2:95165413
ENSG00000275111.4	chr2:95165432
ENSG00000275768.1	chr2:95197357
ENSG00000233757.6	chr2:95207535
ENSG00000155066.15	chr2:95274453
ENSG00000115041.12	chr2:95297304
ENSG00000235129.1	chr2:95368885
ENSG00000115042.9	chr2:95402721
ENSG00000248821.1	chr2:95414296
ENSG00000233275.1	chr2:95434759
ENSG00000227120.1	chr2:95436133
ENSG00000204705.3	chr2:95451500
ENSG00000277747.1	chr2:95460336
ENSG00000234903.1	chr2:95469778
ENSG00000144010.9	chr2:95484731
ENSG00000238162.1	chr2:95485541
ENSG00000223917.1	chr2:95488627
ENSG00000237308.1	chr2:95496531
ENSG00000224719.1	chr2:95502791
ENSG00000226185.2	chr2:95514827
ENSG00000272913.1	chr2:95526702
ENSG00000229689.3	chr2:95525345
ENSG00000236431.1	chr2:95536495
ENSG00000273305.1	chr2:95537969
ENSG00000233037.2	chr2:95543230
ENSG00000168992.4	chr2:95546531
ENSG00000232717.1	chr2:95574899
ENSG00000274028.1	chr2:95588149
ENSG00000230083.1	chr2:95591206
ENSG00000144015.4	chr2:95592018
ENSG00000236026.1	chr2:95606924
ENSG00000271003.1	chr2:95607073
ENSG00000270193.1	chr2:95616492
ENSG00000204699.4	chr2:95625213
ENSG00000275497.1	chr2:95633850
ENSG00000235959.1	chr2:95640604
ENSG00000236750.1	chr2:95641980
ENSG00000235584.2	chr2:95666084
ENSG00000237510.7	chr2:95789654
ENSG00000232931.5	chr2:95816215
ENSG00000174501.14	chr2:95991831
ENSG00000275961.1	chr2:96004850
ENSG00000231584.8	chr2:96010551
ENSG00000186281.12	chr2:96039451
ENSG00000274286.1	chr2:96116245
ENSG00000188886.3	chr2:96138436
ENSG00000158050.4	chr2:96145440
ENSG00000228873.1	chr2:96147012
ENSG00000084090.13	chr2:96208825
ENSG00000204685.6	chr2:96208416
ENSG00000135956.8	chr2:96265994
ENSG00000144021.2	chr2:96266132
ENSG00000144028.14	chr2:96305515
ENSG00000230747.1	chr2:96321731
ENSG00000198885.9	chr2:96325331
ENSG00000121152.9	chr2:96335787
ENSG00000163121.9	chr2:96508109
ENSG00000235480.1	chr2:96532306
ENSG00000196843.15	chr2:96536743
ENSG00000114982.17	chr2:96642787
ENSG00000249715.10	chr2:96642737
ENSG00000114988.11	chr2:96740064
ENSG00000158158.11	chr2:96760902
ENSG00000264157.3	chr2:96798278
ENSG00000273265.1	chr2:96813657
ENSG00000168763.15	chr2:96816245
ENSG00000163126.14	chr2:96857934
ENSG00000213337.8	chr2:96858095
ENSG00000168758.10	chr2:96870757
ENSG00000168754.14	chr2:96986592
ENSG00000274206.1	chr2:96938923
ENSG00000252845.1	chr2:96956815
ENSG00000275094.1	chr2:97001593
ENSG00000273634.1	chr2:97009104
ENSG00000248134.1	chr2:97018604
ENSG00000144188.9	chr2:97031636
ENSG00000230343.1	chr2:97034442
ENSG00000236847.1	chr2:97037549
ENSG00000270748.1	chr2:97046588
ENSG00000271402.1	chr2:97050729
ENSG00000204670.7	chr2:97060128
ENSG00000188383.8	chr2:97081098
ENSG00000144199.11	chr2:97094882
ENSG00000279791.1	chr2:97094935
ENSG00000275655.1	chr2:97100587
ENSG00000135976.17	chr2:97113496
ENSG00000277701.4	chr2:97281904
ENSG00000237837.1	chr2:97301729
ENSG00000271351.1	chr2:97322423
ENSG00000276050.1	chr2:97331843
ENSG00000271015.1	chr2:97335974
ENSG00000270252.1	chr2:97348899
ENSG00000271569.1	chr2:97355059
ENSG00000270450.1	chr2:97372532
ENSG00000278537.1	chr2:97376674
ENSG00000270187.1	chr2:97386082
ENSG00000230606.10	chr2:97433527
ENSG00000278766.2	chr2:97421075
ENSG00000196912.12	chr2:97589965
ENSG00000235833.1	chr2:97524976
ENSG00000228970.6	chr2:97637803
ENSG00000135940.6	chr2:97646040
ENSG00000115073.7	chr2:97664107
ENSG00000228486.10	chr2:97664217
ENSG00000201806.1	chr2:97664731
ENSG00000115085.13	chr2:97713560
ENSG00000075568.16	chr2:97995891
ENSG00000235734.4	chr2:97827248
ENSG00000238719.1	chr2:97913117
ENSG00000168658.18	chr2:98087116
ENSG00000231635.1	chr2:98206151
ENSG00000222000.7	chr2:98356005
ENSG00000144191.11	chr2:98346155
ENSG00000227987.1	chr2:98346995
ENSG00000040933.15	chr2:98444854
ENSG00000183513.8	chr2:98608515
ENSG00000115446.11	chr2:98608579
ENSG00000071073.12	chr2:98731126
ENSG00000236564.1	chr2:98694109
ENSG00000226791.6	chr2:98772920
ENSG00000201070.1	chr2:98782410
ENSG00000196872.11	chr2:98936259
ENSG00000238830.1	chr2:98840736
ENSG00000135951.14	chr2:99154964
ENSG00000231822.1	chr2:99102018
ENSG00000273045.5	chr2:99141485
ENSG00000241962.9	chr2:99141485
ENSG00000144182.16	chr2:99154955
ENSG00000273155.1	chr2:99154998
ENSG00000158411.11	chr2:99181058
ENSG00000185414.19	chr2:99181079
ENSG00000185674.9	chr2:99255282
ENSG00000144214.9	chr2:99304742
ENSG00000115514.11	chr2:99340702
ENSG00000158417.10	chr2:99337353
ENSG00000135945.9	chr2:99490035
ENSG00000273306.1	chr2:99405218
ENSG00000144218.18	chr2:100142739
ENSG00000230393.1	chr2:100104919
ENSG00000232084.5	chr2:100208254
ENSG00000170500.12	chr2:100322733
ENSG00000269383.2	chr2:100370545
ENSG00000270699.1	chr2:100377421
ENSG00000115526.10	chr2:100417656
ENSG00000238029.1	chr2:100425348
ENSG00000204640.1	chr2:100470482
ENSG00000204637.4	chr2:100509277
ENSG00000115539.13	chr2:100562690
ENSG00000227259.2	chr2:100591324
ENSG00000234988.1	chr2:100607028
ENSG00000226034.2	chr2:100660199
ENSG00000234169.1	chr2:100676038
ENSG00000228488.1	chr2:100722882
ENSG00000170485.16	chr2:100820152
ENSG00000232034.1	chr2:100822661
ENSG00000230140.5	chr2:100977161
ENSG00000223947.1	chr2:101002244
ENSG00000071082.10	chr2:101001715
ENSG00000204634.12	chr2:101252866
ENSG00000271532.1	chr2:101068378
ENSG00000272902.2	chr2:101151660
ENSG00000158435.7	chr2:101252802
ENSG00000163162.8	chr2:101308701
ENSG00000212283.1	chr2:101273049
ENSG00000264857.1	chr2:101309450
ENSG00000175874.9	chr2:101387595
ENSG00000226058.1	chr2:101375587
ENSG00000196460.12	chr2:101474703
ENSG00000223826.1	chr2:101479390
ENSG00000237549.1	chr2:101510222
ENSG00000232556.1	chr2:101521976
ENSG00000071054.16	chr2:101696850
ENSG00000281162.2	chr2:101962056
ENSG00000115590.13	chr2:101991844
ENSG00000115594.11	chr2:102064544
ENSG00000226925.1	chr2:102182108
ENSG00000115598.9	chr2:102186973
ENSG00000205716.4	chr2:102250255
ENSG00000115602.16	chr2:102311502
ENSG00000115604.10	chr2:102311529
ENSG00000236785.1	chr2:102411243
ENSG00000115607.9	chr2:102418689
ENSG00000264764.1	chr2:102432289
ENSG00000236525.1	chr2:102433957
ENSG00000234389.1	chr2:102438713
ENSG00000180251.4	chr2:102473303
ENSG00000115616.2	chr2:102619707
ENSG00000135953.10	chr2:102736888
ENSG00000170417.15	chr2:102736905
ENSG00000277527.1	chr2:102895722
ENSG00000224095.1	chr2:102984429
ENSG00000227680.1	chr2:102987323
ENSG00000229209.1	chr2:103176260
ENSG00000227623.1	chr2:103275904
ENSG00000236596.1	chr2:103494241
ENSG00000221849.2	chr2:103527620
ENSG00000231723.1	chr2:103623630
ENSG00000232597.5	chr2:103880209
ENSG00000236141.1	chr2:103869688
ENSG00000256637.6	chr2:103874310
ENSG00000273515.1	chr2:103953284
ENSG00000228968.1	chr2:104147229
ENSG00000233955.1	chr2:104396280
ENSG00000227157.1	chr2:104411201
ENSG00000225765.1	chr2:104414008
ENSG00000235597.1	chr2:104433267
ENSG00000234781.2	chr2:104510509
ENSG00000231626.1	chr2:104581890
ENSG00000236109.1	chr2:104583152
ENSG00000230690.1	chr2:104659337
ENSG00000225669.1	chr2:104678223
ENSG00000228528.1	chr2:104703758
ENSG00000279904.1	chr2:104706612
ENSG00000207249.1	chr2:104733234
ENSG00000234177.5	chr2:104757719
ENSG00000213301.2	chr2:104771282
ENSG00000233639.5	chr2:104853183
ENSG00000269707.1	chr2:104853285
ENSG00000198914.3	chr2:104855511
ENSG00000239587.1	chr2:104867496
ENSG00000229743.2	chr2:104872595
ENSG00000224509.2	chr2:105038496
ENSG00000135972.8	chr2:105037983
ENSG00000231851.5	chr2:105102944
ENSG00000226508.1	chr2:105144113
ENSG00000135973.2	chr2:105241743
ENSG00000272861.1	chr2:105249794
ENSG00000135966.12	chr2:105330034
ENSG00000235319.1	chr2:105324210
ENSG00000272994.1	chr2:105337475
ENSG00000135974.9	chr2:105337359
ENSG00000115641.18	chr2:105438513
ENSG00000238273.3	chr2:105363038
ENSG00000071051.13	chr2:105744897
ENSG00000235522.6	chr2:105857177
ENSG00000234162.1	chr2:105962006
ENSG00000119147.9	chr2:106063246
ENSG00000115652.14	chr2:106194339
ENSG00000233339.1	chr2:106179542
ENSG00000273595.1	chr2:106207394
ENSG00000213295.3	chr2:106247369
ENSG00000224061.1	chr2:106253717
ENSG00000230353.5	chr2:106289053
ENSG00000233939.1	chr2:106304755
ENSG00000227513.1	chr2:106344566
ENSG00000229682.1	chr2:106368876
ENSG00000235486.1	chr2:106369724
ENSG00000240935.6	chr2:106382171
ENSG00000153165.18	chr2:106468376
ENSG00000237666.2	chr2:106477669
ENSG00000254126.6	chr2:106487427
ENSG00000231505.1	chr2:106538079
ENSG00000232001.1	chr2:106543014
ENSG00000214199.3	chr2:106698676
ENSG00000144057.15	chr2:106887108
ENSG00000238250.1	chr2:106825031
ENSG00000227294.1	chr2:106834464
ENSG00000229360.1	chr2:106941482
ENSG00000226905.1	chr2:106963193
ENSG00000229457.1	chr2:107365873
ENSG00000225588.2	chr2:107362282
ENSG00000237880.1	chr2:107542649
ENSG00000224568.1	chr2:107529487
ENSG00000232991.5	chr2:107754112
ENSG00000230651.7	chr2:107826891
ENSG00000196862.9	chr2:107826937
ENSG00000233494.1	chr2:107903134
ENSG00000227270.1	chr2:107903964
ENSG00000237745.1	chr2:107914948
ENSG00000235325.1	chr2:107921248
ENSG00000115665.8	chr2:107986523
ENSG00000231221.1	chr2:108052755
ENSG00000229890.1	chr2:108099110
ENSG00000225328.1	chr2:108217841
ENSG00000236877.2	chr2:108226331
ENSG00000196228.3	chr2:108247195
ENSG00000227597.1	chr2:108276812
ENSG00000198203.9	chr2:108288639
ENSG00000261209.1	chr2:108317725
ENSG00000237223.6	chr2:108322238
ENSG00000271070.1	chr2:108367116
ENSG00000198075.9	chr2:108377911
ENSG00000271284.1	chr2:108423612
ENSG00000135968.20	chr2:108448561
ENSG00000214184.3	chr2:108534196
ENSG00000169756.16	chr2:108534355
ENSG00000228763.1	chr2:108678601
ENSG00000233648.1	chr2:108694893
ENSG00000235644.1	chr2:108712900
ENSG00000153201.15	chr2:108719481
ENSG00000163006.11	chr2:108786757
ENSG00000227470.1	chr2:108878308
ENSG00000135960.9	chr2:108989372
ENSG00000277628.1	chr2:109124609
ENSG00000259863.1	chr2:109128930
ENSG00000172985.10	chr2:109129348
ENSG00000264934.1	chr2:109141588
ENSG00000228551.1	chr2:109251422
ENSG00000265965.1	chr2:109313625
ENSG00000186522.14	chr2:109614206
ENSG00000237916.1	chr2:109552536
ENSG00000230696.1	chr2:109605698
ENSG00000198142.4	chr2:109614334
ENSG00000230603.1	chr2:109665209
ENSG00000231099.1	chr2:109667128
ENSG00000233307.1	chr2:109732731
ENSG00000233707.3	chr2:109737523
ENSG00000282033.1	chr2:109760364
ENSG00000015568.12	chr2:109792758
ENSG00000256977.12	chr2:109898428
ENSG00000284337.1	chr2:109898432
ENSG00000186148.13	chr2:109933161
ENSG00000283684.1	chr2:109937438
ENSG00000240069.1	chr2:109984058
ENSG00000225108.1	chr2:109988394
ENSG00000204588.5	chr2:109987063
ENSG00000235721.1	chr2:110007675
ENSG00000229730.2	chr2:110012601
ENSG00000283331.1	chr2:110025569
ENSG00000283283.1	chr2:110035270
ENSG00000265682.1	chr2:110070042
ENSG00000144063.3	chr2:110116566
ENSG00000264979.1	chr2:110086523
ENSG00000144061.12	chr2:110205066
ENSG00000233370.1	chr2:110184054
ENSG00000175701.10	chr2:110245420
ENSG00000261760.8	chr2:110231106
ENSG00000282304.1	chr2:110245591
ENSG00000282785.1	chr2:110279606
ENSG00000263881.1	chr2:110284853
ENSG00000283167.1	chr2:110335525
ENSG00000226991.2	chr2:110358790
ENSG00000230650.1	chr2:110363737
ENSG00000175772.10	chr2:110384442
ENSG00000226065.1	chr2:110383112
ENSG00000230596.3	chr2:110388163
ENSG00000273471.1	chr2:110433673
ENSG00000184115.17	chr2:110435166
ENSG00000257207.5	chr2:110473075
ENSG00000256671.6	chr2:110473075
ENSG00000227574.2	chr2:110449242
ENSG00000231583.1	chr2:110500100
ENSG00000183054.11	chr2:110577185
ENSG00000231536.1	chr2:110610916
ENSG00000216867.2	chr2:110633947
ENSG00000169679.14	chr2:110678114
ENSG00000235881.2	chr2:110716595
ENSG00000153093.18	chr2:110732573
ENSG00000236330.1	chr2:110967834
ENSG00000204581.2	chr2:111115588
ENSG00000153094.22	chr2:111119378
ENSG00000230499.1	chr2:111195963
ENSG00000172965.14	chr2:111495100
ENSG00000227992.1	chr2:111206215
ENSG00000271590.1	chr2:111212476
ENSG00000229118.1	chr2:111265283
ENSG00000270190.1	chr2:111267473
ENSG00000226928.1	chr2:111296046
ENSG00000266139.2	chr2:111321086
ENSG00000279191.1	chr2:111324812
ENSG00000223973.2	chr2:111383752
ENSG00000280878.1	chr2:111468810
ENSG00000240350.2	chr2:111491273
ENSG00000224959.1	chr2:111494811
ENSG00000271635.1	chr2:111559937
ENSG00000225744.1	chr2:111607841
ENSG00000237583.1	chr2:111675026
ENSG00000227842.1	chr2:111717508
ENSG00000228615.1	chr2:111742586
ENSG00000153107.11	chr2:111884690
ENSG00000266063.1	chr2:111771134
ENSG00000230958.1	chr2:111865798
ENSG00000236307.2	chr2:111887914
ENSG00000153208.16	chr2:111898479
ENSG00000240183.3	chr2:111930175
ENSG00000225496.1	chr2:111941036
ENSG00000232277.1	chr2:111952671
ENSG00000153214.9	chr2:112055223
ENSG00000144152.12	chr2:112138385
ENSG00000278962.1	chr2:112188364
ENSG00000144161.12	chr2:112255136
ENSG00000188177.13	chr2:112275594
ENSG00000235258.1	chr2:112286422
ENSG00000236555.1	chr2:112346011
ENSG00000169629.11	chr2:112434488
ENSG00000283698.1	chr2:112469687
ENSG00000114999.7	chr2:112482154
ENSG00000125630.15	chr2:112541915
ENSG00000207383.1	chr2:112579584
ENSG00000125611.15	chr2:112584240
ENSG00000243389.1	chr2:112589040
ENSG00000228251.1	chr2:112590796
ENSG00000231747.1	chr2:112622167
ENSG00000237753.1	chr2:112645690
ENSG00000144136.10	chr2:112645857
ENSG00000144130.11	chr2:112721486
ENSG00000169607.12	chr2:112764677
ENSG00000115008.5	chr2:112784590
ENSG00000125538.11	chr2:112836903
ENSG00000280228.1	chr2:112840328
ENSG00000180152.3	chr2:112853328
ENSG00000125571.9	chr2:112912971
ENSG00000227368.1	chr2:112932625
ENSG00000136688.10	chr2:112973203
ENSG00000236124.1	chr2:112981434
ENSG00000232090.2	chr2:112995517
ENSG00000136694.8	chr2:113005461
ENSG00000136696.10	chr2:113052867
ENSG00000136695.14	chr2:113058638
ENSG00000136697.12	chr2:113067970
ENSG00000201805.1	chr2:113086805
ENSG00000136689.18	chr2:113107214
ENSG00000125637.15	chr2:113157325
ENSG00000234174.1	chr2:113175360
ENSG00000189223.14	chr2:113211522
ENSG00000125618.16	chr2:113278950
ENSG00000231292.6	chr2:113406396
ENSG00000234997.1	chr2:113424495
ENSG00000272563.1	chr2:113432600
ENSG00000136682.14	chr2:113437691
ENSG00000184492.6	chr2:113498665
ENSG00000234148.2	chr2:113512463
ENSG00000231943.7	chr2:113542672
ENSG00000225398.3	chr2:113541937
ENSG00000226516.7	chr2:113577382
ENSG00000221055.1	chr2:113583096
ENSG00000146556.14	chr2:113588550
ENSG00000236397.3	chr2:113601261
ENSG00000279267.1	chr2:113607908
ENSG00000240356.6	chr2:113627090
ENSG00000144134.18	chr2:113627229
ENSG00000144158.4	chr2:113657908
ENSG00000175509.8	chr2:113668621
ENSG00000233479.1	chr2:113669166
ENSG00000227359.1	chr2:113704078
ENSG00000202427.1	chr2:113681111
ENSG00000115084.13	chr2:113756823
ENSG00000265429.3	chr2:113721368
ENSG00000244063.1	chr2:113831119
ENSG00000228857.2	chr2:113843356
ENSG00000270019.1	chr2:113889750
ENSG00000115091.11	chr2:113889960
ENSG00000279957.1	chr2:113904086
ENSG00000234199.2	chr2:113979569
ENSG00000243179.1	chr2:113979909
ENSG00000212182.2	chr2:114005655
ENSG00000235242.1	chr2:114123293
ENSG00000231926.1	chr2:114261226
ENSG00000222923.1	chr2:114420125
ENSG00000175497.16	chr2:114442299
ENSG00000231538.1	chr2:114833548
ENSG00000235717.1	chr2:114835588
ENSG00000235026.5	chr2:115161343
ENSG00000230391.1	chr2:115468056
ENSG00000271667.1	chr2:116687387
ENSG00000224869.1	chr2:116726771
ENSG00000226341.1	chr2:116751158
ENSG00000235871.1	chr2:116818086
ENSG00000230158.1	chr2:117023918
ENSG00000230950.1	chr2:117025077
ENSG00000228898.1	chr2:117026537
ENSG00000239185.1	chr2:117139775
ENSG00000227291.1	chr2:117181562
ENSG00000238207.1	chr2:117804174
ENSG00000088205.12	chr2:117814650
ENSG00000236255.1	chr2:117833937
ENSG00000125631.7	chr2:117859427
ENSG00000125633.10	chr2:118014133
ENSG00000224967.1	chr2:117934789
ENSG00000235066.6	chr2:117995397
ENSG00000272895.1	chr2:117998745
ENSG00000279227.1	chr2:118014174
ENSG00000243510.3	chr2:118016385
ENSG00000125629.14	chr2:118088452
ENSG00000226856.5	chr2:118186386
ENSG00000258910.2	chr2:118835110
ENSG00000163064.6	chr2:118847678
ENSG00000019169.10	chr2:118942166
ENSG00000259094.1	chr2:118952983
ENSG00000144119.3	chr2:119158889
ENSG00000264833.1	chr2:119169822
ENSG00000115107.19	chr2:119223831
ENSG00000229867.1	chr2:119249071
ENSG00000186132.14	chr2:119366828
ENSG00000155368.16	chr2:119366921
ENSG00000171227.6	chr2:119429901
ENSG00000080293.9	chr2:119525301
ENSG00000231013.1	chr2:119476448
ENSG00000163075.12	chr2:119544432
ENSG00000144120.12	chr2:119679167
ENSG00000229326.3	chr2:119698623
ENSG00000088179.8	chr2:119759631
ENSG00000233741.1	chr2:119993611
ENSG00000115109.13	chr2:120013005
ENSG00000224789.1	chr2:120216544
ENSG00000202046.1	chr2:120192245
ENSG00000236878.1	chr2:120211054
ENSG00000227788.1	chr2:120211727
ENSG00000233286.1	chr2:120212935
ENSG00000243104.1	chr2:120213344
ENSG00000234065.2	chr2:120213631
ENSG00000223549.1	chr2:120215181
ENSG00000226479.3	chr2:120223408
ENSG00000144118.13	chr2:120240064
ENSG00000235840.1	chr2:120319007
ENSG00000163083.5	chr2:120346143
ENSG00000280409.1	chr2:120466218
ENSG00000237614.1	chr2:120544326
ENSG00000232140.1	chr2:120558109
ENSG00000201006.1	chr2:120651273
ENSG00000229774.1	chr2:120710517
ENSG00000074047.21	chr2:120735623
ENSG00000271709.1	chr2:120867403
ENSG00000201584.1	chr2:121040710
ENSG00000234455.1	chr2:121088726
ENSG00000236145.1	chr2:121178327
ENSG00000115112.7	chr2:121285207
ENSG00000232723.1	chr2:121309995
ENSG00000074054.17	chr2:121649587
ENSG00000265451.1	chr2:121530422
ENSG00000264229.1	chr2:121530881
ENSG00000222467.1	chr2:121603164
ENSG00000236859.6	chr2:121649650
ENSG00000230993.1	chr2:121658973
ENSG00000279721.1	chr2:121688203
ENSG00000213239.3	chr2:121709115
ENSG00000155438.11	chr2:121736923
ENSG00000211460.11	chr2:121737103
ENSG00000270798.1	chr2:121745921
ENSG00000224655.5	chr2:121790444
ENSG00000237856.1	chr2:123065321
ENSG00000232740.1	chr2:123073481
ENSG00000226708.1	chr2:123444445
ENSG00000235640.1	chr2:123695302
ENSG00000227738.1	chr2:123762171
ENSG00000279874.1	chr2:123850695
ENSG00000223118.1	chr2:123869570
ENSG00000228400.1	chr2:124025173
ENSG00000155052.14	chr2:124025287
ENSG00000238046.1	chr2:124680916
ENSG00000270815.1	chr2:124778640
ENSG00000252674.1	chr2:124932915
ENSG00000206726.1	chr2:124989219
ENSG00000235491.1	chr2:125710969
ENSG00000224410.1	chr2:125823108
ENSG00000226813.2	chr2:126117985
ENSG00000235774.1	chr2:126308510
ENSG00000236655.1	chr2:126311927
ENSG00000213236.3	chr2:126558162
ENSG00000136732.14	chr2:126655933
ENSG00000235128.1	chr2:126679622
ENSG00000206963.1	chr2:126702942
ENSG00000237524.8	chr2:126898882
ENSG00000238788.1	chr2:127017421
ENSG00000260634.1	chr2:127025723
ENSG00000260163.1	chr2:127025211
ENSG00000136717.14	chr2:127107355
ENSG00000237630.1	chr2:127170011
ENSG00000186684.12	chr2:127220078
ENSG00000226789.1	chr2:127247258
ENSG00000163161.12	chr2:127294176
ENSG00000169967.16	chr2:127388465
ENSG00000200250.1	chr2:127316873
ENSG00000236682.1	chr2:127389130
ENSG00000115718.17	chr2:127418427
ENSG00000264075.1	chr2:127423618
ENSG00000163166.14	chr2:127526886
ENSG00000231731.7	chr2:127455394
ENSG00000202429.1	chr2:127472234
ENSG00000169994.18	chr2:127535802
ENSG00000272789.1	chr2:127626848
ENSG00000072163.19	chr2:127681786
ENSG00000144230.16	chr2:127645864
ENSG00000136709.11	chr2:127811187
ENSG00000173349.5	chr2:127701508
ENSG00000201470.1	chr2:127798998
ENSG00000200390.1	chr2:127829852
ENSG00000274010.1	chr2:127841763
ENSG00000144231.10	chr2:127858157
ENSG00000202532.1	chr2:127845236
ENSG00000244563.1	chr2:127847084
ENSG00000273950.1	chr2:127856890
ENSG00000144233.9	chr2:127885922
ENSG00000272667.1	chr2:127886556
ENSG00000204399.3	chr2:127931327
ENSG00000136715.17	chr2:128028120
ENSG00000234044.1	chr2:128067194
ENSG00000200432.1	chr2:128067800
ENSG00000136731.12	chr2:128091200
ENSG00000229173.1	chr2:128140516
ENSG00000232101.1	chr2:128151304
ENSG00000229758.2	chr2:128199901
ENSG00000185631.7	chr2:128203361
ENSG00000238180.1	chr2:128217588
ENSG00000136720.6	chr2:128318577
ENSG00000252742.1	chr2:128350927
ENSG00000238379.1	chr2:128445198
ENSG00000227653.1	chr2:128519177
ENSG00000237532.1	chr2:128581576
ENSG00000238277.1	chr2:129071725
ENSG00000204460.3	chr2:129273848
ENSG00000233428.1	chr2:129496297
ENSG00000229536.1	chr2:129877553
ENSG00000214100.8	chr2:129934317
ENSG00000237574.1	chr2:129923177
ENSG00000234559.1	chr2:129940217
ENSG00000225449.3	chr2:129980466
ENSG00000222014.5	chr2:129979664
ENSG00000180178.10	chr2:130051131
ENSG00000250207.1	chr2:129993105
ENSG00000217289.3	chr2:129992889
ENSG00000231147.2	chr2:130006200
ENSG00000231240.1	chr2:130036958
ENSG00000248313.1	chr2:130049440
ENSG00000196604.12	chr2:130129222
ENSG00000228471.1	chr2:130082220
ENSG00000224087.1	chr2:130107684
ENSG00000252223.1	chr2:130109310
ENSG00000223760.4	chr2:130129621
ENSG00000152076.18	chr2:130145134
ENSG00000136699.19	chr2:130182750
ENSG00000152082.13	chr2:130181737
ENSG00000152086.8	chr2:130198461
ENSG00000227632.2	chr2:130202312
ENSG00000230756.1	chr2:130213490
ENSG00000213225.7	chr2:130229379
ENSG00000234398.1	chr2:130245971
ENSG00000236595.1	chr2:130251568
ENSG00000237722.2	chr2:130270440
ENSG00000231954.1	chr2:130272479
ENSG00000236211.1	chr2:130273908
ENSG00000230496.1	chr2:130275592
ENSG00000232990.2	chr2:130276507
ENSG00000249997.1	chr2:130277184
ENSG00000283940.1	chr2:130278036
ENSG00000284171.1	chr2:130278444
ENSG00000230548.1	chr2:130278757
ENSG00000234934.1	chr2:130280299
ENSG00000248136.1	chr2:130282606
ENSG00000233550.1	chr2:130282679
ENSG00000226915.1	chr2:130293822
ENSG00000271435.1	chr2:130314411
ENSG00000224352.1	chr2:130330285
ENSG00000136710.9	chr2:130342349
ENSG00000136718.9	chr2:130342225
ENSG00000072135.12	chr2:130356007
ENSG00000178162.8	chr2:130431363
ENSG00000230646.1	chr2:130427731
ENSG00000239402.3	chr2:130441413
ENSG00000196834.11	chr2:130509666
ENSG00000251973.1	chr2:130497849
ENSG00000225819.1	chr2:130526691
ENSG00000274711.1	chr2:130517312
ENSG00000152093.7	chr2:130521197
ENSG00000225341.1	chr2:130530275
ENSG00000184761.7	chr2:130549883
ENSG00000183292.12	chr2:130570829
ENSG00000232408.1	chr2:130590463
ENSG00000136698.8	chr2:130599575
ENSG00000277668.1	chr2:130603461
ENSG00000222038.3	chr2:130611481
ENSG00000251757.1	chr2:130622838
ENSG00000214081.8	chr2:130680050
ENSG00000282944.1	chr2:130681228
ENSG00000240253.5	chr2:130690133
ENSG00000223349.1	chr2:130693770
ENSG00000173302.5	chr2:130729070
ENSG00000229797.1	chr2:130755879
ENSG00000178171.10	chr2:130755435
ENSG00000232503.1	chr2:130776646
ENSG00000233221.6	chr2:130836994
ENSG00000136002.18	chr2:130836916
ENSG00000281159.1	chr2:130929883
ENSG00000281516.1	chr2:130929884
ENSG00000284479.1	chr2:131035092
ENSG00000152102.17	chr2:131093460
ENSG00000115762.16	chr2:131104847
ENSG00000230450.1	chr2:131178946
ENSG00000225448.1	chr2:131181369
ENSG00000236956.1	chr2:131197493
ENSG00000248796.1	chr2:131202941
ENSG00000188219.14	chr2:131218067
ENSG00000212199.1	chr2:131229607
ENSG00000231431.7	chr2:131279290
ENSG00000236516.1	chr2:131300444
ENSG00000227817.4	chr2:131330857
ENSG00000224425.2	chr2:131353239
ENSG00000233087.7	chr2:131364142
ENSG00000283303.1	chr2:131363364
ENSG00000233285.1	chr2:131369711
ENSG00000227275.1	chr2:131369785
ENSG00000235080.1	chr2:131372075
ENSG00000231777.1	chr2:131373650
ENSG00000284003.1	chr2:131379675
ENSG00000283865.1	chr2:131380083
ENSG00000227661.1	chr2:131380913
ENSG00000236590.1	chr2:131381590
ENSG00000234480.1	chr2:131382497
ENSG00000237910.1	chr2:131384061
ENSG00000234939.1	chr2:131385490
ENSG00000234576.1	chr2:131386237
ENSG00000226831.1	chr2:131395542
ENSG00000276460.1	chr2:131401250
ENSG00000223631.1	chr2:131402901
ENSG00000214077.4	chr2:131424867
ENSG00000217950.4	chr2:131444587
ENSG00000232742.3	chr2:131460999
ENSG00000273073.1	chr2:131463615
ENSG00000173272.15	chr2:131492743
ENSG00000075886.10	chr2:131476093
ENSG00000284149.1	chr2:131491236
ENSG00000152117.17	chr2:131492813
ENSG00000163040.14	chr2:131527675
ENSG00000224679.1	chr2:131536988
ENSG00000204434.5	chr2:131591752
ENSG00000251956.1	chr2:131602790
ENSG00000273588.1	chr2:131625957
ENSG00000224559.2	chr2:131637025
ENSG00000270930.1	chr2:131648372
ENSG00000197927.12	chr2:131722375
ENSG00000213222.3	chr2:131724279
ENSG00000186825.5	chr2:131801661
ENSG00000274353.1	chr2:131822920
ENSG00000229203.1	chr2:131832031
ENSG00000232760.1	chr2:131836532
ENSG00000244337.2	chr2:131958277
ENSG00000235615.2	chr2:131979873
ENSG00000236485.1	chr2:131994161
ENSG00000226886.1	chr2:132037993
ENSG00000271179.1	chr2:132080755
